run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,response,question_order,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
13,1,"""",127776.60000014305,survey-text,10,1131265,0.0-10.0,"{""Q0"":""}","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",641102.7000000477,survey-likert,11,1772368,0.0-11.0,"{""X"":"",""Y"":"",""Z"":""}","[0,1,2]","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",13587.299999952316,survey-text,12,1785958,0.0-12.0,"{""Q0"":""}","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",5138.699999809265,survey-likert,13,1791099,0.0-13.0,"{""X"":"",""Y"":"",""Z"":""}","[0,1,2]","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",1358.4000000953674,survey-text,14,1792460,0.0-14.0,"{""Q0"":""}","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",920.5,survey-likert,15,1793383,0.0-15.0,"{""X"":"",""Y"":"",""Z"":""}","[0,1,2]","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",1437.2000000476837,survey-text,16,1794823,0.0-16.0,"{""Q0"":""}","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",943.6999998092651,survey-likert,17,1795768,0.0-17.0,"{""X"":"",""Y"":"",""Z"":""}","[0,1,2]","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",841,survey-text,18,1796611,0.0-18.0,"{""Q0"":""}","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",1213.8999998569489,survey-likert,19,1797827,0.0-19.0,"{""X"":"",""Y"":"",""Z"":""}","[0,1,2]","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",2640.4000000953674,survey-text,20,1800471,0.0-20.0,"{""Q0"":""}","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",1504.5999999046326,survey-likert,21,1801978,0.0-21.0,"{""X"":"",""Y"":"",""Z"":""}","[0,1,2]","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",786.2999999523163,survey-text,22,1802767,0.0-22.0,"{""Q0"":""}","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",986.7999999523163,survey-likert,23,1803756,0.0-23.0,"{""X"":"",""Y"":"",""Z"":""}","[0,1,2]","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
13,1,"""",749.2999999523163,survey-text,24,1804509,0.0-24.0,"{""Q0"":""}","""","2021-07-12 15:13:12",64.137.131.82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
